Statement Period;Statement Number;Transaction Date;Fee Name;Amount(Include Tax);VAT Amount;Release Status;Release Date;Comment;Order Creation Date;Order Number;Order Line ID;Seller SKU;Lazada SKU;WHT Amount;WHT included in Amount;Order Status;Product Name
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;25 May 2025;Payment Fee;-40.63;4.6748;Released;26 May 2025;;23 May 2025;215753642103756;215753642203756;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;25 May 2025;Shipping Fee Paid by Buyer;160;0;Released;26 May 2025;;23 May 2025;215753642103756;215753642203756;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;25 May 2025;Product Price Paid by Buyer;1598;0;Released;26 May 2025;;23 May 2025;215753642103756;215753642203756;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;25 May 2025;Commission Fee;-268.78;37.0736;Released;26 May 2025;;23 May 2025;215753642103756;215753642203756;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;25 May 2025;Shipping Fee;-180.8;20.8;Released;26 May 2025;;23 May 2025;215753642103756;215753642203756;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Payment Fee;-40.63;4.6748;Released;26 May 2025;;22 May 2025;216468307868654;216468307968654;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Shipping Fee Paid by Buyer;180;0;Released;26 May 2025;;22 May 2025;216468307868654;216468307968654;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Product Price Paid by Buyer;1598;0;Released;26 May 2025;;22 May 2025;216468307868654;216468307968654;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Commission Fee;-268.78;37.0736;Released;26 May 2025;;22 May 2025;216468307868654;216468307968654;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Shipping Fee;-203.4;23.4;Released;26 May 2025;;22 May 2025;216468307868654;216468307968654;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Payment Fee;-40.63;4.6748;Released;26 May 2025;;21 May 2025;216431397120345;216431397220345;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Shipping Fee Paid by Buyer;125;0;Released;26 May 2025;;21 May 2025;216431397120345;216431397220345;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Product Price Paid by Buyer;1598;0;Released;26 May 2025;;21 May 2025;216431397120345;216431397220345;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
